[ERROR]2016/10/18 20:21:01 /data1/project/go/supergo/src/utils/Log.go:58: [[error: %v open /data1/project/go/supergo/src/load/conf/app.conf: no such file or directory]]
[ERROR]2016/10/18 20:21:01 /data1/project/go/supergo/src/utils/Log.go:58: [[Can't find the *.yaml]]
[ERROR]2016/10/18 20:21:01 /data1/project/go/supergo/src/utils/Log.go:58: [[Can't find the *.yaml]]
[ERROR]2016/10/18 20:24:34 /data1/project/go/supergo/src/utils/Log.go:58: [[error: %v open /data1/project/go/supergo/src/load/conf/app.conf: no such file or directory]]
[ERROR]2016/10/18 20:24:34 /data1/project/go/supergo/src/utils/Log.go:58: [[Can't find the *.yaml]]
[ERROR]2016/10/18 20:24:34 /data1/project/go/supergo/src/utils/Log.go:58: [[Can't find the *.yaml]]
[ERROR]2016/10/18 20:25:07 /data1/project/go/supergo/src/utils/Log.go:58: [[error: %v open /data1/project/go/supergo/src/load/conf/app.conf: no such file or directory]]
[ERROR]2016/10/18 20:25:07 /data1/project/go/supergo/src/utils/Log.go:58: [[Can't find the *.yaml]]
[ERROR]2016/10/18 20:25:07 /data1/project/go/supergo/src/utils/Log.go:58: [[Can't find the *.yaml]]
[NOTICE]2016/10/18 20:29:45 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:45 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:45 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:45 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:45 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:45 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:45 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:45 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:45 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:45 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:46 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:46 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:46 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:46 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:46 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:46 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:46 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:46 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:46 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:46 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:46 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:46 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:46 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:46 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:46 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:46 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:46 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:46 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:46 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:46 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:46 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:46 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:46 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:46 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:46 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:46 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:46 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:46 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:46 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:46 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:47 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:47 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:47 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:47 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:47 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:47 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:47 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:47 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:47 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:47 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:47 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:47 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:47 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:47 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:47 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:47 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:47 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:47 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:47 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:47 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:47 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:47 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:47 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:47 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:47 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:47 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:47 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:47 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:47 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:47 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:57 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:57 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:57 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:57 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:57 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:57 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:57 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:57 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:57 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:29:57 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:35:52 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[DEBUG]2016/10/18 20:35:52 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
[NOTICE]2016/10/18 20:35:52 /data1/project/go/supergo/src/utils/Log.go:55: [[finish to get user info.]]
